ID,Nome do Jogador,Conteudo,Status
1, Neymar Jr, Meio-campista talentoso com visão de jogo excepcional
2, Lionel Messi, Atacante habilidoso com dribles desconcertantes
3, Cristiano Ronaldo, Zagueiro sólido que lidera a defesa com maestria
4, Kylian Mbappé, Goleiro com reflexos rápidos e ótimo posicionamento
5, Luka Modrić, Meio-campista defensivo que protege bem a área
6, Sergio Ramos, Atacante rápido e finalizador letal
7, Robert Lewandowski, Defensor versátil que pode atuar em várias posições
8, Kevin De Bruyne, Meio-campista criativo que dita o ritmo do jogo
9, Harry Kane, Atacante oportunista que marca gols importantes
10, Virgil van Dijk, Goleiro seguro e confiável
11, Mohamed Salah, Zagueiro com excelente capacidade de marcação
12, Antoine Griezmann, Meio-campista com passes precisos e lançamentos longos
13, Eden Hazard, Atacante veloz que cria chances de gol
14, Paul Pogba, Defensor experiente com grande presença de campo
15, Sadio Mané, Meio-campista com habilidades de dribble
16, Raheem Sterling, Atacante com faro de gol incrível
17, Toni Kroos, Goleiro com grandes defesas de pênalti
18, Alisson Becker, Defensor que bloqueia muitos chutes ao gol
19, Karim Benzema, Meio-campista versátil que contribui defensivamente
20, Thiago Silva, Atacante com chute potente de fora da área
21, Ronaldo Oliveira, Meio-campista que domina o meio do campo
22, Luisa Fernandes, Atacante jovem e promissor com grande futuro
23, Marcelo Santos, Zagueiro que ganha a maioria das bolas aéreas
24, Ana Silva, Meio-campista habilidoso com dribles curtos
25, Giovanni Barbosa, Atacante com grande presença na área
26, Luana Pereira, Goleiro com ótima capacidade de reposição de bola
27, Gabriel Souza, Defensor físico que recupera muitas bolas
28, Sophia Rodrigues, Meio-campista com chutes de longa distância
29, Lucas Almeida, Atacante com capacidade de marcar de cabeça
30, Eduarda Costa, Meio-campista que dita o ritmo do jogo
31, Mateus Silva, Atacante com grande velocidade e agilidade
32, Larissa Mendes, Defensor que impõe respeito na zaga
33, Diego Lima, Meio-campista com excelente visão de jogo
34, Isabel Oliveira, Atacante que cria oportunidades para a equipe
35, Pedro Ribeiro, Zagueiro que antecipa jogadas com precisão
36, Clara Fernandes, Goleiro que realiza defesas espetaculares
37, Enzo Pereira, Meio-campista que distribui passes com maestria
38, Manuela Alves, Atacante com faro de gol em jogadas aéreas
39, Daniel Rodrigues, Defensor que bloqueia chutes perigosos
40, Luiza Gonçalves, Meio-campista versátil que se adapta a diferentes funções
41, Matheus Sousa, Atacante com grande técnica individual
42, Beatriz Ferreira, Meio-campista com grande habilidade de drible
43, João Santos, Goleiro que mantém a calma em situações de pressão
44, Julia Barbosa, Defensor que impede avanços adversários com eficiência
45, Guilherme Almeida, Meio-campista que lidera o time com inteligência
46, Laura Fernandes, Atacante com presença constante na área
47, Felipe Costa, Zagueiro que corta cruzamentos com precisão
48, Mariana Oliveira, Goleiro com grande agilidade e reflexos
49, Rafael Pereira, Meio-campista com passes decisivos
50, José Silva, Atacante com grande velocidade e habilidades de dribble
